epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,262.085,2.08822,1.19814,1.54214,0.70139,0.70434,0.68867,0.2766,2.03535,1.18397,1.65056,0.0006239,0.0006239,0.0006239
141,264.09,2.12442,1.19045,1.52363,0.72376,0.71391,0.70591,0.28305,2.00803,1.19127,1.62536,0.000614,0.000614,0.000614
142,265.858,2.16953,1.43684,1.63277,0.70981,0.6998,0.69755,0.27854,2.00431,1.21843,1.60745,0.0006041,0.0006041,0.0006041
143,267.808,2.15885,1.53751,1.61223,0.72135,0.70604,0.70937,0.28326,2.00795,1.21419,1.61281,0.0005942,0.0005942,0.0005942
144,269.559,2.16526,1.26661,1.62527,0.72812,0.70341,0.71527,0.28573,2.00843,1.20027,1.62361,0.0005843,0.0005843,0.0005843
145,271.31,2.11448,1.23656,1.61483,0.71204,0.67388,0.69979,0.28122,2.02743,1.19142,1.65324,0.0005744,0.0005744,0.0005744
146,273.136,2.14123,1.26493,1.63661,0.71978,0.67913,0.70742,0.28158,2.02761,1.18621,1.65874,0.0005645,0.0005645,0.0005645
147,274.903,2.13157,1.22373,1.59799,0.74177,0.7021,0.72385,0.29037,2.01523,1.17723,1.6514,0.0005546,0.0005546,0.0005546
148,276.791,2.16576,1.2601,1.62688,0.74101,0.70964,0.73498,0.30331,1.99706,1.15466,1.62929,0.0005447,0.0005447,0.0005447
149,278.713,2.16635,1.26775,1.62777,0.74606,0.70364,0.72355,0.29962,2.01167,1.14406,1.63487,0.0005348,0.0005348,0.0005348
150,280.449,2.23535,1.21039,1.55593,0.73379,0.70079,0.72108,0.29895,2.02871,1.13065,1.64223,0.0005249,0.0005249,0.0005249
151,282.173,2.30061,1.44863,1.50793,0.74614,0.70932,0.73028,0.30171,2.03947,1.10722,1.63763,0.000515,0.000515,0.000515
152,284.019,2.12538,1.28373,1.57202,0.75671,0.7126,0.74278,0.30558,2.03219,1.1089,1.62867,0.0005051,0.0005051,0.0005051
153,285.904,2.29375,1.24258,1.56502,0.76238,0.7126,0.74734,0.30435,2.03069,1.11924,1.62578,0.0004952,0.0004952,0.0004952
154,288.529,2.15889,1.27272,1.63294,0.75429,0.72316,0.74316,0.29969,2.02034,1.148,1.62305,0.0004853,0.0004853,0.0004853
155,290.272,2.1334,1.33794,1.68652,0.73132,0.71129,0.72338,0.29085,2.03683,1.15975,1.63902,0.0004754,0.0004754,0.0004754
156,292.094,2.13079,1.28636,1.63959,0.7181,0.68864,0.69488,0.27996,2.05648,1.16437,1.65484,0.0004655,0.0004655,0.0004655
157,293.88,2.28353,1.22151,1.54874,0.70232,0.67654,0.65951,0.26413,2.07646,1.16217,1.67237,0.0004556,0.0004556,0.0004556
158,295.65,2.26599,1.22643,1.57145,0.71602,0.6916,0.66901,0.26667,2.06694,1.16235,1.66836,0.0004457,0.0004457,0.0004457
159,297.553,2.20705,1.19841,1.57117,0.72967,0.70472,0.69098,0.27092,2.05397,1.16846,1.65678,0.0004358,0.0004358,0.0004358
160,299.565,2.09075,1.23853,1.60203,0.74718,0.71171,0.71154,0.27835,2.03504,1.17516,1.63995,0.0004259,0.0004259,0.0004259
161,301.338,2.15338,1.21852,1.59417,0.74764,0.71345,0.71703,0.28364,2.01958,1.17621,1.6297,0.000416,0.000416,0.000416
162,303.048,2.17045,1.20059,1.54531,0.74202,0.71528,0.71793,0.2872,2.01127,1.17084,1.62462,0.0004061,0.0004061,0.0004061
163,304.779,2.06857,1.20434,1.52614,0.73448,0.71697,0.71067,0.29079,2.0104,1.15837,1.62186,0.0003962,0.0003962,0.0003962
164,306.563,2.13762,1.33961,1.64852,0.74356,0.71325,0.70874,0.28916,2.01697,1.15033,1.62348,0.0003863,0.0003863,0.0003863
165,308.529,2.16255,1.23318,1.6027,0.74856,0.72244,0.72607,0.29274,2.01908,1.13957,1.62208,0.0003764,0.0003764,0.0003764
166,310.526,2.14814,1.28387,1.62899,0.76307,0.72487,0.73289,0.29393,2.02081,1.13412,1.61919,0.0003665,0.0003665,0.0003665
167,312.735,2.11233,1.23668,1.6083,0.76798,0.72106,0.73011,0.29053,2.02183,1.13793,1.61919,0.0003566,0.0003566,0.0003566
168,314.78,2.17792,1.20998,1.60148,0.75854,0.71457,0.72528,0.28918,2.02858,1.1381,1.62542,0.0003467,0.0003467,0.0003467
169,316.59,2.14183,1.2131,1.50924,0.75886,0.72375,0.73093,0.29047,2.03159,1.13466,1.62612,0.0003368,0.0003368,0.0003368
170,318.416,2.16518,1.42634,1.63245,0.75714,0.72416,0.73039,0.29125,2.03116,1.13279,1.62545,0.0003269,0.0003269,0.0003269
171,320.312,2.26088,1.25757,1.63729,0.75725,0.71436,0.72689,0.28966,2.03748,1.13092,1.62956,0.000317,0.000317,0.000317
172,322.181,2.18899,1.19768,1.53664,0.75528,0.71893,0.72833,0.2939,2.03421,1.12912,1.63171,0.0003071,0.0003071,0.0003071
173,324,2.13296,1.20811,1.60479,0.753,0.72178,0.7334,0.29764,2.02667,1.13383,1.62894,0.0002972,0.0002972,0.0002972
174,325.825,2.16966,1.18154,1.54359,0.75004,0.71785,0.73494,0.29769,2.02101,1.1363,1.62797,0.0002873,0.0002873,0.0002873
175,327.637,2.0489,1.17562,1.52864,0.73994,0.71318,0.73028,0.30025,2.01419,1.13613,1.62924,0.0002774,0.0002774,0.0002774
176,329.586,2.2229,1.37464,1.74651,0.74511,0.70012,0.72315,0.29966,2.02003,1.13292,1.63587,0.0002675,0.0002675,0.0002675
177,331.503,2.13612,1.2368,1.61788,0.74939,0.69423,0.71685,0.29468,2.03051,1.12505,1.64445,0.0002576,0.0002576,0.0002576
178,333.253,2.03197,1.19434,1.56904,0.7417,0.68963,0.697,0.28267,2.06703,1.12043,1.67103,0.0002477,0.0002477,0.0002477
179,335.022,2.02005,1.16088,1.53417,0.7378,0.68241,0.69064,0.27867,2.08254,1.11909,1.68174,0.0002378,0.0002378,0.0002378
180,336.913,2.17602,1.18603,1.55278,0.74253,0.68898,0.69541,0.27789,2.08526,1.11881,1.68076,0.0002279,0.0002279,0.0002279
181,339.514,2.12776,1.20979,1.6156,0.76109,0.70407,0.71577,0.2876,2.06678,1.10903,1.6598,0.000218,0.000218,0.000218
